Name,Size (GiB),Host LUN ID,WWN,Description
associatnpkg9-srv-o1,500,124,60:06:01:60:5B:3A:65:00:63:18:EF:69:F6:58:F9:9F,HN-DRP9ESASN1V1
associatnpkg9-srv-o2,500,125,60:06:01:60:5B:3A:65:00:4E:19:EF:69:3B:02:59:D6,HN-DRP9ESASN2V2
msgbrokrpkg9-node01,360,126,60:06:01:60:5B:3A:65:00:C0:19:EF:69:4A:4E:BB:EC,HN-DRP9ESMSBR1V1
msgbrokrpkg9-node02,360,127,60:06:01:60:5B:3A:65:00:5D:1A:EF:69:BE:3C:3B:66,HN-DRP9ESMSBR2V2
msgbrokrpkg9-node03,360,128,60:06:01:60:5B:3A:65:00:AF:2A:EF:69:3E:49:14:EC,HN-DRP9ESMSBR3V3
sec-servicespkg9-node01,200,129,60:06:01:60:5B:3A:65:00:CF:2B:EF:69:90:54:79:FF,HN-DRP9ESSESN1V1
sec-servicespkg9-node02,200,130,60:06:01:60:5B:3A:65:00:25:2C:EF:69:64:2C:2C:A2,HN-DRP9ESSESN2V2
MISDBPKG9-log-D,550,131,60:06:01:60:5B:3A:65:00:60:2D:EF:69:8F:08:5B:39,MISDBPKG9-log-D
MISDBPKG9-Temp-E,550,132,60:06:01:60:5B:3A:65:00:94:2D:EF:69:D8:2E:CC:66,MISDBPKG9-Temp-E
MISDBPKG9-MIS-STG-F,550,133,60:06:01:60:5B:3A:65:00:D4:2D:EF:69:E2:F7:46:95,MISDBPKG9-MIS-STG-F
MISDBPKG9-Prepaid-G,330,134,60:06:01:60:5B:3A:65:00:08:2E:EF:69:48:A8:54:A9,MISDBPKG9-Prepaid-G
MISDBPKG9-WFM-H,330,135,60:06:01:60:5B:3A:65:00:43:2E:EF:69:62:03:FD:3D,MISDBPKG9-WFM-H
MISDBPKG9-MIS-Main-I,940,136,60:06:01:60:5B:3A:65:00:A0:2E:EF:69:0D:C3:2D:10,MISDBPKG9-MIS-Main-I
MISDBPKG9-backup-2Y-O,250,137,60:06:01:60:5B:3A:65:00:D7:2E:EF:69:AF:4F:11:14,MISDBPKG9-backup-2Y-O
MISDBPKG9-Quoram-Q,2,138,60:06:01:60:5B:3A:65:00:1A:2F:EF:69:09:1D:30:B4,MISDBPKG9-Quoram-Q
DRPKG9ESANADB-LOG-E,"1,536.00",139,60:06:01:60:5B:3A:65:00:60:31:EF:69:92:8E:67:E7,DRPKG9ESANADB-LOG-E
DRPKG9ESANADB-TEMP-F,"1,024.00",140,60:06:01:60:5B:3A:65:00:AB:31:EF:69:71:34:D6:A1,DRPKG9ESANADB-TEMP-F
DRPKG9ESANADB-MDM-G,"9,953.20",141,60:06:01:60:5B:3A:65:00:EF:31:EF:69:13:6D:61:9F,DRPKG9ESANADB-MDM-G
DRPKG9ESANADB-MIS-H,"4,403.20",142,60:06:01:60:5B:3A:65:00:CD:32:EF:69:47:9D:2D:BD,DRPKG9ESANADB-MIS-H
hesdbnode1pkg9-datadisk,"2,560.00",143,60:06:01:60:5B:3A:65:00:4A:C7:01:6A:8D:03:B5:21,hesdbnode1pkg9-datadisk
NCC-DR-PROD-DS,"2,048.00",144,60:06:01:60:5B:3A:65:00:FD:F8:13:6A:F3:26:8C:4E,NCC-DR-PROD-DS
ncc-pkg9-mdmdb-additional,"1,024.00",145,60:06:01:60:5B:3A:65:00:C2:28:21:6A:D5:0D:4F:B8,ncc-pkg9-mdmdb-additional
ncc-pkg8-mdm-mis-db-additional,"4,096.00",146,60:06:01:60:5B:3A:65:00:49:29:21:6A:2F:12:6F:74,ncc-pkg8-mdm-mis-db-additional
hesdbnode1pkg9-mntmedium-expansn,"1,024.00",147,60:06:01:60:5B:3A:65:00:55:A2:22:6A:36:79:B3:24,hesdbnode1pkg9-mntmedium-expansn
hesdbnode1pkg9-drv02-addtnl,"1,024.00",148,60:06:01:60:5B:3A:65:00:A0:56:32:6A:0B:FA:4A:1B,DRP9ESDBN1V1
hesdbnode1pkg9-mntdata-addtnl,500,149,60:06:01:60:5B:3A:65:00:DE:56:32:6A:A8:4C:09:81,DRP9ESDBN1V1
hesdbnode1pkg9-mntmedium-addtnl,500,150,60:06:01:60:5B:3A:65:00:36:57:32:6A:D9:4C:A3:72,DRP9ESDBN1V1
hesdbnode1pkg8-drv02-addtnl,"2,048.00",151,60:06:01:60:5B:3A:65:00:7A:57:32:6A:F3:F2:3B:12,DRP8ESHESDBN1V1
kmblmhpk9hesdb1-DataDrive-D,"5,120.00",153,60:06:01:60:5B:3A:65:00:24:59:32:6A:AC:8D:3D:76,10.254.228.11
kimbalpkg8-logshipping,"1,024.00",154,60:06:01:60:5B:3A:65:00:B5:A5:2F:6A:7B:C5:19:2B,kimbalpkg8-logshipping
drp8eshesdbn1-drv02,"2,048.00",155,60:06:01:60:5B:3A:65:00:EB:73:35:6A:8E:D6:50:C2,drp8eshesdbn1v1-10.254.193.11
drp9esdbn1v1-drv02,"2,048.00",156,60:06:01:60:5B:3A:65:00:C4:74:35:6A:99:DE:55:05,drp9esdbn1v1-10.254.225.11
kmbl-pkg9-hes-db-D-Drive,"12,288.00",180,60:06:01:60:5B:3A:65:00:BC:98:3B:6A:9A:3E:A0:86,kmbl-pkg9-hes-db-D-Drive
